ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04978,Mineral absorption,55,-0.670769189705914,-2.10340161563277,5.91155435087737e-06,8.0260718686912e-05,5.12175154286542e-05,2479,"tags=44%, list=15%, signal=37%",1811/1317/65010/3163/142680/483/55503/4501/6546/477/4499/7421/482/340024/54822/476/4496/4493/6569/55630/6550/4494/4495/140803
hsa04640,Hematopoietic cell lineage,88,0.615091607286008,1.9074070888428,7.9566923290773e-06,0.000104026384894974,6.63833200164734e-05,2756,"tags=43%, list=17%, signal=36%",3117/3127/3118/3119/1438/3122/3581/3120/3113/3112/3115/3684/921/3109/914/2209/960/3676/925/951/945/952/3123/1436/3108/915/916/920/3111/1441/3559/3575/926/3678/917/929/7037/924
hsa00640,Propanoate metabolism,32,-0.756995413815392,-2.13904593777738,1.2226653603855e-05,0.000154143168648601,9.8364807188909e-05,2108,"tags=56%, list=13%, signal=49%",1962/32/5096/5095/84693/8803/55862/4594/594/8802/26275/8801/55902/1629/18/4329/51/1892
hsa05416,Viral myocarditis,65,0.652283829146084,1.96699745339082,1.28236346923446e-05,0.000156094587806816,9.9610084361588e-05,2388,"tags=49%, list=14%, signal=42%",3117/3127/3118/3119/3134/5880/3689/3122/595/3120/3113/3112/637/3115/942/3109/3106/27/3683/3135/841/3123/5551/3107/3105/3108/836/3111/940/941/8082/958
hsa03008,Ribosome biogenesis in eukaryotes,75,0.617170162212379,1.87584556678271,1.82723017700021e-05,0.000215004084160358,0.000137202546623875,3821,"tags=47%, list=23%, signal=36%",55127/55813/10885/7514/2091/55226/29889/81691/10813/6949/28987/55651/84128/134430/10248/65083/55781/1459/29102/84135/23160/55131/5901/4931/51068/22803/10199/79631/10436/1736/83732/54552/26354/54464/9790
hsa04060,Cytokine-cytokine receptor interaction,229,0.476121813829833,1.65864508880467,1.96776353681609e-05,0.000224071138224542,0.000142988589772035,3422,"tags=38%, list=21%, signal=30%",643/3624/60401/10220/414062/5008/7852/53833/9560/1438/50615/939/7046/944/3581/3594/84957/3625/2833/1234/3460/10148/3560/3556/3604/6351/6352/7293/8771/3603/10673/1524/1436/3627/7040/3561/3587/7292/920/4283/6348/3455/1441/970/9466/8795/3559/58191/8740/6367/3575/3459/1439/6373/8744/1230/958/23765/10663/6362/1233/9180/355/51561/6364/3588/7133/4050/284340/1236/2829/3597/392255/57007/4049/146433/729230/51554/1435/4055/6376/3601/8784/3574/356/268
hsa00980,Metabolism of xenobiotics by cytochrome P450,66,-0.621701962544871,-2.01190480725398,2.74387615594888e-05,0.00030268383845311,0.000193154439925348,4818,"tags=62%, list=29%, signal=44%",1564/54659/54579/54657/1543/374875/54658/218/127/1559/2939/2944/4259/7366/2941/1545/2938/54600/1565/873/10720/2948/653689/2946/124/2953/1555/7367/7364/1576/27294/246181/2947/8574/119391/130/22977/128/126/125/2949
hsa04612,Antigen processing and presentation,66,0.64125052539965,1.94224691857904,3.27509715442718e-05,0.000336722265263665,0.000214875696336437,2323,"tags=58%, list=14%, signal=50%",3117/3127/3118/3119/3134/6890/3122/3120/3113/3112/3115/6891/3109/6892/3106/3135/925/1520/3123/972/3107/3105/3108/567/920/3111/821/8625/2923/4800/811/10437/4261/1385/926/5721/3310/3824
hsa04623,Cytosolic DNA-sensing pathway,67,0.630921908046652,1.91853136480949,3.33860602952642e-05,0.000336722265263665,0.000214875696336437,3125,"tags=43%, list=19%, signal=35%",29110/10623/9641/9560/1777/6351/6352/841/3428/3627/81030/85364/25939/836/115004/340061/9447/10146/834/51428/11277/103/114548/29108/8517/661/197259/51082/5970
hsa04218,Cellular senescence,151,0.530593669893996,1.76805539579952,3.21941869332088e-05,0.000336722265263665,0.000214875696336437,3176,"tags=35%, list=19%, signal=29%",5933/2305/9134/891/286826/1869/983/4683/5925/4361/11200/9133/890/3134/1029/7046/5501/595/4605/83593/3106/7157/3135/3486/472/10111/3107/3105/7040/1111/894/1017/110117499/8503/2113/8878/898/4193/1978/10758/4609/545/896/1870/1030/4773/4893/3133/3710/5534/5594/5970/3805
