GEO_ID,Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GSE202853,126823,KLHDC9,kelch domain containing 9,protein_coding,89.3974227751011,0.402661530136503,0.408281643794352,0.986234713846994,0.324017948302008,0.686702011157039
GSE202853,5202,PFDN2,prefoldin subunit 2,protein_coding,701.536298028707,0.147483537881802,0.231961968778888,0.635809131376995,0.524900835032176,0.818944298490515
GSE202853,4817,NIT1,nitrilase 1,protein_coding,1253.86001068761,0.146319622321929,0.268842204130185,0.544258379354285,0.58626368353225,0.849541285717258
GSE202853,9191,DEDD,death effector domain containing,protein_coding,678.62206332873,0.357224083396297,0.262420245660728,1.36126723948783,0.173429251964167,0.540942795696085
GSE202853,51506,UFC1,ubiquitin-fold modifier conjugating enzyme 1,protein_coding,1839.53153934519,0.187939892970468,0.247469444491407,0.759446861638686,0.447585289950764,0.772503488404327
GSE202853,27005,USP21,ubiquitin specific peptidase 21,protein_coding,224.408617634124,-0.0119638183117418,0.303898342273981,-0.0393678301178615,0.968597127864291,0.992289619582448
GSE202853,5498,PPOX,protoporphyrinogen oxidase,protein_coding,321.467145782457,0.304449000544838,0.315233681139645,0.965788298522486,0.334150124971482,0.695010725913543
GSE202853,8703,B4GALT3,"beta-1,4-galactosyltransferase 3",protein_coding,598.725136905069,0.321812077415508,0.271394324671447,1.1857730547796,0.23571193524286,0.608336449733285
GSE202853,9507,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,protein_coding,541.355539662194,0.0174241659624164,0.530798101388697,0.0328263532157152,0.97381306270683,0.993043178479082
GSE202853,4720,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,protein_coding,4919.81289942209,0.275250068243469,0.300929531363914,0.914666191104421,0.360366898351207,0.715850006336204
GSE202853,2207,FCER1G,Fc epsilon receptor Ig,protein_coding,897.042333126381,-0.0823878145725764,0.312888111123699,-0.263313982358393,0.792308583490912,0.935459824168573
GSE202853,336,APOA2,apolipoprotein A2,protein_coding,214033.764954589,0.17429137030853,0.303761624756389,0.573776791088436,0.56611885609979,0.839105611885242
GSE202853,84134,TOMM40L,translocase of outer mitochondrial membrane 40 like,protein_coding,806.371809891789,0.200147692102394,0.280918791849152,0.712475270112471,0.476170519849939,0.790931297965313
GSE202853,9970,NR1I3,nuclear receptor subfamily 1 group I member 3,protein_coding,2295.74117406661,-0.25350243246486,0.441016120270747,-0.574814436055605,0.565416802424844,0.838878545209747
GSE202853,654790,PCP4L1,Purkinje cell protein 4 like 1,protein_coding,61.2393454871027,-0.547875254694346,0.356211424308807,-1.53806199719014,0.124033456789226,0.471677240687714
GSE202853,4359,MPZ,myelin protein zero,protein_coding,195.725477941477,2.130897387333,0.646829486923749,3.29437267535115,0.000986416218885053,0.0363995087573661
GSE202853,6391,SDHC,succinate dehydrogenase complex subunit C,protein_coding,4444.48389643962,0.417908685829811,0.220067716045508,1.89900042286708,0.0575644203896698,0.33693422798006
GSE202853,257177,CFAP126,cilia and flagella associated protein 126,protein_coding,68.4915381535941,0.401096595159913,0.272844680032443,1.47005466667783,0.141546948867167,0.497679106570443
GSE202853,2212,FCGR2A,Fc gamma receptor IIa,protein_coding,465.255937361403,0.60611149843379,0.336366421477785,1.80193818327915,0.0715551318882963,0.372259744431948
GSE202853,3310,HSPA6,heat shock protein family A (Hsp70) member 6,protein_coding,145.708783472804,-0.266720908360583,0.500645346183367,-0.532754194948401,0.594203745279608,0.853592523926017
GSE202853,2214,FCGR3A,Fc gamma receptor IIIa,protein_coding,1474.43855484274,-0.410207542663076,0.451459857489149,-0.908624622672983,0.363548304769247,0.718750244724807
GSE202853,9103,FCGR2C,Fc gamma receptor IIc (gene/pseudogene),protein_coding,132.117681353394,-0.164592659610754,0.353272465559054,-0.465908542717265,0.641280966098382,0.875151931535952
GSE202853,2215,FCGR3B,Fc gamma receptor IIIb,protein_coding,143.192858161566,-0.801072909250055,0.4847453350933,-1.65256445241679,0.0984195376965328,0.426166881456107
GSE202853,2213,FCGR2B,Fc gamma receptor IIb,protein_coding,324.706017125815,-1.46485461594951,0.46627129962773,-3.14163581828658,0.00168006866165615,0.0504411312139092
