Symbol,n_cancers_druggable,cancer_list,mean_n_drugs,mean_lfc,gene_family,any_hub
MMP16,2,esophagus|kidney,2,0.33176464564297,Protease,FALSE
MOGAT2,2,colorectal|kidney,2,-0.99622779172108,Other,FALSE
MT1F,2,colorectal|kidney,2,-0.58760169468787,Other,FALSE
MT2A,2,colorectal|kidney,2,0.241533729055095,Other,FALSE
MUSK,2,colorectal|esophagus,2,2.0217925367609,Other,FALSE
NECAB1,2,colorectal|kidney,2,0.09211422184915,Other,FALSE
NECTIN4,2,colorectal|kidney,2,-1.51930042457133,Other,FALSE
NPC1L1,2,colorectal|kidney,2,-1.92730296034758,Other,FALSE
NRG2,2,colorectal|esophagus,2,2.17588342114834,Other,FALSE
NRXN1,2,colorectal|esophagus,2,2.74739331724134,Other,FALSE
PDGFD,2,colorectal|kidney,2,1.20398103479281,Growth Factor/Cytokine,FALSE
PYGM,2,colorectal|esophagus,2,1.45745413221404,Other,FALSE
ROR1,2,colorectal|esophagus,2,1.29145716380569,Other,FALSE
S100A2,2,colorectal|kidney,2,-3.05787333041697,Other,FALSE
S100A9,2,colorectal|esophagus,2,0.356649918782595,Other,FALSE
SLC13A3,2,colorectal|kidney,2,-3.38928081686021,Transporter,FALSE
SLC29A4,2,esophagus|kidney,2,0.13892246694712,Transporter,FALSE
SLC38A4,2,colorectal|kidney,2,-0.24201315281218,Transporter,FALSE
SLC9A9,2,colorectal|kidney,2,1.16616558299399,Transporter,FALSE
TCN1,2,colorectal|esophagus,2,-1.01644364314033,Other,FALSE
TEAD4,2,colorectal|esophagus,2,-1.39558159478022,Other,FALSE
TLX2,2,colorectal|esophagus,2,0.14573200917513,Other,FALSE
TNFRSF9,2,esophagus|kidney,2,0.99719100214889,Other,TRUE
TNFSF11,2,colorectal|esophagus,2,-1.17260671101831,Other,FALSE
TPSAB1,2,colorectal|kidney,2,1.43891619831407,Other,FALSE
TPSB2,2,colorectal|kidney,2,1.41665839459616,Other,FALSE
TPSD1,2,colorectal|esophagus,2,1.19724635597682,Other,FALSE
VCAN,2,esophagus|kidney,2,-0.130124266668725,Other,TRUE
ADAMTS4,2,esophagus|kidney,1,-0.204496809104905,Other,FALSE
ADAMTSL2,2,kidney|pancreatic,1,-0.07356915316018,Other,FALSE
