Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
kidney,GO:0010810,regulation of cell-substrate adhesion,48/2534,230/18860,0.208695652173913,1.55327545382794,3.32599531465902,0.00113195157765223,0.00801140024838773,0.00554668548468318,4323/11170/9448/10391/6422/2192/27185/1295/7010/1029/5880/57662/347/1277/57669/55966/2824/2335/255743/5800/5314/6366/916/285/5340/4070/79625/55679/7422/136227/57580/1012/3678/4192/335/2633/9806/1236/2042/10562/3273/7448/10085/55612/5054/10551/948/340533,48
kidney,GO:0007519,skeletal muscle tissue development,40/2534,183/18860,0.218579234972678,1.62683676858118,3.35698335611298,0.00113413188304366,0.00801140024838773,0.00554668548468318,30001/56603/6943/3131/4634/7832/9242/58529/50937/57462/8819/858/55013/7504/4868/9172/1827/7040/124872/8320/26508/9148/3164/93649/467/6495/79784/4609/1310/92737/5307/1958/3142/7480/857/8538/6664/2353/654463/3481,40
kidney,GO:1905952,regulation of lipid localization,40/2534,183/18860,0.218579234972678,1.62683676858118,3.35698335611298,0.00113413188304366,0.00801140024838773,0.00554668548468318,84417/9641/9388/10351/54209/26154/5465/22925/1950/29923/4481/341/5071/949/4923/5027/9619/718/440503/1579/4828/19/1066/8529/5020/118471/335/185/32/4035/4023/3952/857/356/5972/948/51305/154664/114880/553,40
kidney,GO:0050772,positive regulation of axonogenesis,21/2534,78/18860,0.269230769230769,2.00382490437739,3.4999117097222,0.00115460183390159,0.00814635738363902,0.00564012293131474,4916/10154/3984/6387/5364/4135/27185/51393/2335/4915/9037/7422/23129/9353/1002/6092/140578/23566/3897/4747/9423,21
kidney,GO:0050873,brown fat cell differentiation,16/2534,53/18860,0.30188679245283,2.24687644264419,3.58116500404544,0.00117229852002399,0.00825170974766887,0.00571306354222218,30001/4329/63976/2624/11221/252995/56301/64641/1051/6495/10891/655/3952/153/59341/338557,16
kidney,GO:0071622,regulation of granulocyte chemotaxis,16/2534,53/18860,0.30188679245283,2.24687644264419,3.58116500404544,0.00117229852002399,0.00825170974766887,0.00571306354222218,57118/5880/3071/719/6352/1436/972/6366/7130/57402/4192/284340/1236/9353/59341/6363,16
kidney,GO:0042832,defense response to protozoan,11/2534,30/18860,0.366666666666667,2.72901867929492,3.73385881170892,0.00117697210150296,0.0082563951911282,0.00571630750462817,6556/64581/10538/2634/951/4818/283234/10077/958/2633/3662,11
kidney,GO:0019751,polyol metabolic process,27/2534,110/18860,0.245454545454545,1.82686374399082,3.42651309243882,0.00117711380593903,0.0082563951911282,0.00571630750462817,5745/5105/6569/6652/2643/5724/170685/56848/5106/1594/26007/2710/5860/4923/5341/55586/5028/1576/27329/1591/27124/51744/3952/80168/117283/553/116255,27
kidney,GO:0035249,"synaptic transmission, glutamatergic",27/2534,110/18860,0.245454545454545,1.82686374399082,3.42651309243882,0.00117711380593903,0.0082563951911282,0.00571630750462817,2906/6509/27185/6857/477/2899/5071/2892/2918/2901/4914/7349/22871/6833/5649/729230/2911/440279/59283/2894/785/2914/2903/23732/2898/23025/1006,27
kidney,GO:0071320,cellular response to cAMP,17/2534,58/18860,0.293103448275862,2.18150395993795,3.5503395761044,0.00120239136642208,0.00841392035893719,0.00582536990753761,10411/1393/2819/2203/3625/5294/3784/358/445/15/65010/3753/7490/1811/7480/366/497189,17
kidney,GO:0086009,membrane repolarization,17/2534,58/18860,0.293103448275862,2.18150395993795,3.5503395761044,0.00120239136642208,0.00841392035893719,0.00582536990753761,287/4842/476/3784/482/477/23704/3759/81033/23327/9722/6324/3753/857/3760/30820/6330,17
kidney,GO:0051785,positive regulation of nuclear division,18/2534,63/18860,0.285714285714286,2.12650806178825,3.5284425246482,0.00121203511161345,0.00844541703525232,0.00584717660198757,221150/10635/11065/51203/991/84101/6790/9787/1950/4487/685/940/10361/118471/7039/346673/3481/220134,18
kidney,GO:0030866,cortical actin cytoskeleton organization,13/2534,39/18860,0.333333333333333,2.48092607208629,3.64726294745238,0.00121255191811212,0.00844541703525232,0.00584717660198757,54443/29127/3993/128239/3071/1894/752/3936/5341/10788/112464/7429/30846,13
kidney,GO:0042044,fluid transport,13/2534,39/18860,0.333333333333333,2.48092607208629,3.64726294745238,0.00121255191811212,0.00844541703525232,0.00584717660198757,364/6338/359/358/79849/6563/554/83959/65010/360/363/361/366,13
kidney,GO:0070670,response to interleukin-4,13/2534,39/18860,0.333333333333333,2.48092607208629,3.64726294745238,0.00121255191811212,0.00844541703525232,0.00584717660198757,4171/10376/5788/11151/54625/210/6356/2625/3561/146722/3718/958/285180,13
kidney,GO:0045931,positive regulation of mitotic cell cycle,32/2534,138/18860,0.231884057971015,1.72586161536438,3.37163064930052,0.00123240941694485,0.00857372005797649,0.00593600708002146,221150/6491/11065/891/6241/983/991/3306/51514/990/332/8317/595/84101/6790/9787/675/4212/9099/7040/301/5087/894/995/1978/118471/28984/1956/2255/219736/7480/220134,32
kidney,GO:0008016,regulation of heart contraction,47/2534,225/18860,0.208888888888889,1.55471367184074,3.29775334766367,0.0012408271125938,0.00862223170555579,0.00596959407394556,27129/287/3768/4634/4842/30845/2643/476/5294/7068/84502/3784/2697/482/1674/10052/477/6546/140/10659/23704/3759/7139/79191/81033/5020/7349/1573/9722/6324/23171/491/57413/133/3753/552/8862/857/100/153/3760/30820/6330/59272/4624/478/148,47
kidney,GO:0002026,regulation of the force of heart contraction,10/2534,26/18860,0.384615384615385,2.86260700625342,3.74420279062056,0.00128252704336441,0.00887068820607438,0.00614161270018746,4634/4842/476/477/6546/8862/857/153/4624/148,10
kidney,GO:0007350,blastoderm segmentation,10/2534,26/18860,0.384615384615385,2.86260700625342,3.74420279062056,0.00128252704336441,0.00887068820607438,0.00614161270018746,3234/8828/6926/5046/10409/7490/163589/6997/56165/497189,10
kidney,GO:0050926,regulation of positive chemotaxis,10/2534,26/18860,0.384615384615385,2.86260700625342,3.74420279062056,0.00128252704336441,0.00887068820607438,0.00614161270018746,4916/6387/5228/3603/846/285/7422/1012/2255/7857,10
kidney,GO:0060343,trabecula formation,10/2534,26/18860,0.384615384615385,2.86260700625342,3.74420279062056,0.00128252704336441,0.00887068820607438,0.00614161270018746,7049/6422/7010/1277/1101/7422/23462/5950/58495/7480,10
kidney,GO:0006163,purine nucleotide metabolic process,84/2534,454/18860,0.185022026431718,1.37707790785407,3.20407037040195,0.00129573253727309,0.00895165221641556,0.00619766805718096,55022/5167/114789/5315/113/2819/6799/229/4860/3099/54209/2203/84433/2026/51181/2597/226/54541/5465/170685/125061/23475/5207/5210/554235/56848/952/3939/48/477/7040/5744/5071/9615/27115/5091/4923/25939/5214/5027/4539/3620/284958/4535/160428/2766/4538/8671/525/4540/5136/4541/10840/4537/3988/51085/4837/3101/1740/368/4881/55753/108/9390/32/4536/23171/5313/84618/6521/130013/4883/5169/5208/7345/230/100/27284/205/2645/785/84676/4622/4624,84
kidney,GO:0019058,viral life cycle,59/2534,298/18860,0.197986577181208,1.47357018375595,3.24640604573129,0.00130366694733875,0.00897952733345184,0.00621696736844432,7153/983/57379/7852/1378/636/115362/6404/942/1234/340024/2634/858/27074/5629/6352/7293/3965/27350/3956/7301/3123/3428/4628/972/60489/5071/5091/200316/949/23601/920/940/941/558/4939/4940/117854/3678/6614/3669/185/10663/140564/1956/7113/9636/56649/290/3949/164668/3694/857/131578/8638/81607/1380/59272/553,59
kidney,GO:0002430,complement receptor mediated signaling pathway,8/2534,18/18860,0.444444444444444,3.30790142944839,3.85933740249578,0.00130879356342823,0.00897952733345184,0.00621696736844432,1378/719/3684/2359/718/28984/2357/1380,8
kidney,GO:0007096,regulation of exit from mitosis,8/2534,18/18860,0.444444444444444,3.30790142944839,3.85933740249578,0.00130879356342823,0.00897952733345184,0.00621696736844432,9735/11065/54443/332/1028/7040/10361/28984,8
kidney,GO:0030889,negative regulation of B cell proliferation,8/2534,18/18860,0.444444444444444,3.30790142944839,3.85933740249578,0.00130879356342823,0.00897952733345184,0.00621696736844432,1029/7305/695/3635/4332/11314/2213/1493,8
kidney,GO:0033631,cell-cell adhesion mediated by integrin,8/2534,18/18860,0.444444444444444,3.30790142944839,3.85933740249578,0.00130879356342823,0.00897952733345184,0.00621696736844432,3676/6352/255743/83706/916/3678/5420/100,8
kidney,GO:0070206,protein trimerization,8/2534,18/18860,0.444444444444444,3.30790142944839,3.85933740249578,0.00130879356342823,0.00897952733345184,0.00621696736844432,286133/3135/1278/241/972/5027/7837/55600,8
kidney,GO:0030501,positive regulation of bone mineralization,14/2534,44/18860,0.318181818181818,2.36815670517328,3.57949094979025,0.00133231011313048,0.00913037780169439,0.00632140854933863,240/2824/7421/6546/5764/5027/9365/84059/9636/655/658/7480/7020/4745,14
kidney,GO:0010884,positive regulation of lipid storage,9/2534,22/18860,0.409090909090909,3.04477290665136,3.78060901568752,0.00134031875973848,0.00916421841566896,0.00634483806683943,9641/29923/4481/949/718/440503/32/4023/948,9
kidney,GO:0033630,positive regulation of cell adhesion mediated by integrin,9/2534,22/18860,0.409090909090909,3.04477290665136,3.78060901568752,0.00134031875973848,0.00916421841566896,0.00634483806683943,3071/6352/6423/6366/916/5979/5420/55612/64805,9
