"Symbol","colorectal","esophagus","kidney","liver","pancreatic","padj_colorectal","padj_esophagus","padj_kidney","padj_liver","padj_pancreatic","n_cancers"
"ITGB2",NA,NA,1.1064187785261,NA,NA,NA,NA,0.0914141683400409,NA,NA,NA
"CSF1R",NA,NA,1.09933518611708,NA,NA,NA,NA,0.123153094574109,NA,NA,NA
"CCR2",NA,NA,1.06687431810125,NA,NA,NA,NA,0.159325251287628,NA,NA,NA
"FCGR3B",NA,NA,1.05186419466998,NA,NA,NA,NA,0.159325251287628,NA,NA,NA
"ALB",NA,NA,1.0181702286685,NA,1.02121849505265,NA,NA,0.534295802988097,NA,0.546144718644937,NA
"EGFR",NA,NA,1.02637126456178,NA,NA,NA,NA,0.584059758569277,NA,NA,NA
"IL7R",NA,NA,1.00748626786846,NA,NA,NA,NA,0.821841672001916,NA,NA,NA
"RTKN2",NA,NA,NA,1.16553656387226,NA,NA,NA,NA,0.037086461451206,NA,1
"SLC22A15",NA,NA,NA,1.12443330042084,NA,NA,NA,NA,0.0538142505984521,NA,NA
"USH2A",NA,NA,NA,0.905998997281237,NA,NA,NA,NA,0.083470725061013,NA,NA
"CTSE",NA,NA,NA,1.06972582660793,NA,NA,NA,NA,0.263847282699161,NA,NA
"ZNF714",NA,NA,NA,1.09305292831167,NA,NA,NA,NA,0.288304766646042,NA,NA
"ZG16B",NA,NA,NA,1.05322703409934,NA,NA,NA,NA,0.38307237258964,NA,NA
"FCRLA",NA,NA,NA,0.936972966008294,NA,NA,NA,NA,0.38307237258964,NA,NA
"VAT1L",NA,NA,NA,1.05185924611694,NA,NA,NA,NA,0.38307237258964,NA,NA
"VIP",NA,NA,NA,0.909084642226709,NA,NA,NA,NA,0.38307237258964,NA,NA
"PLEKHN1",NA,NA,NA,1.06760641905568,NA,NA,NA,NA,0.406245539298008,NA,NA
"DCDC1",NA,NA,NA,1.14695901931066,NA,NA,NA,NA,0.484856849896038,NA,NA
"CACNA1H",NA,NA,NA,0.964949815169234,NA,NA,NA,NA,0.515017908601485,NA,NA
"MS4A2",NA,NA,NA,0.941910910554484,NA,NA,NA,NA,0.520146277863691,NA,NA
"SAA1",NA,NA,NA,0.975824626095726,NA,NA,NA,NA,0.528871883312048,NA,NA
"BEX2",NA,NA,NA,1.02841314139881,NA,NA,NA,NA,0.528871883312048,NA,NA
"NGF",NA,NA,NA,0.947328344195285,NA,NA,NA,NA,0.551843526916463,NA,NA
"SLITRK3",NA,NA,NA,1.03288691194785,NA,NA,NA,NA,0.551843526916463,NA,NA
"NME5",NA,NA,NA,0.960201347501927,NA,NA,NA,NA,0.551843526916463,NA,NA
"CSDC2",NA,NA,NA,1.03569828764541,NA,NA,NA,NA,0.577469738566324,NA,NA
"HSD3B1",NA,NA,NA,0.972154378653964,NA,NA,NA,NA,0.639520238754085,NA,NA
"CADM2",NA,NA,NA,1.02533098645364,NA,NA,NA,NA,0.741172336321587,NA,NA
"COL28A1",NA,NA,NA,1.02190089184434,NA,NA,NA,NA,0.741172336321587,NA,NA
