Symbol,Module,Degree,Log2FC
ESPL1,16,118,1.01408576817821
NDC80,16,112,-1.35598102310705
FOXM1,16,112,-1.60833753099651
PRC1,16,112,-1.13902748907647
MKI67,16,112,-1.19504235550693
NEK2,16,110,-1.63690644138115
MCM10,16,108,-1.51277181103272
KIF14,16,106,-1.60434439004981
CDC6,16,104,-1.674013902695
RAD51,16,100,-1.07846171448291
SPAG5,16,94,-1.38605719701703
TRIP13,16,92,-1.62488149163643
NCAPH,16,92,-1.43404610559867
KIFC1,16,92,-1.10424400581671
BRCA1,16,88,-1.0282664899105
CDKN3,16,88,-1.37121418690025
ANLN,16,88,-1.06818751291938
CDT1,16,86,-1.18757382030338
KIF18A,16,86,-1.59968744700512
DEPDC1,16,86,-1.09157513570468
CDCA2,16,80,-1.3617950225473
TK1,16,78,-1.26406448179932
SKA1,16,78,-1.33612397284479
CDC25C,16,78,-1.06484426238247
OIP5,16,78,-1.02229129887611
ECT2,16,74,-1.68194972719138
RFC4,16,74,-1.37368702492345
SPC25,16,72,-1.26201612005842
RAD51AP1,16,70,-1.59698299080399
CENPM,16,70,-1.12899263985398
KNL1,16,68,-1.02014232951056
MCM2,16,66,-1.69776849465704
DTL,16,66,-1.51708464191454
MCM7,16,64,-1.04747278654922
CKAP2L,16,60,-1.13051255493652
TACC3,16,58,-1.03581939534011
FEN1,16,56,-1.10779104419704
CENPI,16,54,-1.27627715116618
TROAP,16,54,-1.50765554491371
ASF1B,16,54,-1.14122807229854
WDHD1,16,54,-1.19968531433351
SHCBP1,16,54,-1.0461679509346
UBE2T,16,52,-1.51883369917288
KIF18B,16,52,-1.54512780586791
KNTC1,16,50,-1.01073953006308
MYBL2,16,46,-2.13807009183852
CKS2,16,46,-1.26643567149808
CDC25A,16,46,-1.02977012740433
MND1,16,46,-1.08137915640557
E2F1,16,44,-1.28897838180681
GTSE1,16,44,-1.40960218140585
DEPDC1B,16,44,-1.44609140793484
ERCC6L,16,44,-1.0073044295979
KPNA2,16,42,-1.25422889912571
CLSPN,16,42,-1.67323867661505
CCNF,16,40,-1.12103519698714
UHRF1,16,38,-1.44113187826853
GINS2,16,38,-1.21855394270465
ORC1,16,38,-1.4379242991396
TIMELESS,16,36,-1.17500617064042
GINS1,16,34,-1.25158235368971
MCM8,16,34,-1.06109970085176
ESCO2,16,34,-1.0827728916796
