Symbol,Module,Degree,Log2FC
STRIP2,233,0,1.30465975515118
GLI2,234,0,1.25031261153773
ANXA9,235,0,-1.19065006045516
SLC30A2,236,2,-2.90885125684116
SLC39A5,236,2,-3.15391449567284
GPR85,237,0,1.36989736917087
UNC5D,238,0,-5.44320282669479
TCEA3,239,0,-1.41837648529482
TFF1,240,0,2.09451092660375
SEMA7A,241,0,1.65397069892979
IGSF5,242,0,-1.11931395296333
OXER1,243,0,-1.06027084172532
SYNDIG1,244,0,1.26327154413758
CLDN24,245,0,-2.14159435795312
RORC,246,0,-1.05052438902959
EMILIN1,247,0,1.07065234175151
NUAK1,248,0,1.080137103385
RCN3,249,0,1.05369031245111
IL22RA1,250,0,-2.26387736359795
ST3GAL4,251,0,1.13406599301189
SLC17A4,252,0,-2.96534960304795
ADAMTSL2,253,0,1.07488453381328
ESM1,254,0,1.93529336556974
PBLD,255,0,-1.30626374140757
TMEM200A,256,0,1.15764276286343
SERPINI2,257,0,-3.62074206811745
CALB2,258,0,2.08531629383659
PRR16,259,0,1.090712140857
GRIN1,260,0,1.41393159921896
SPOCD1,261,0,2.33865585476432
TNNT1,262,0,6.21324755789972
RAB31,263,0,1.20343964595473
TMEM47,264,0,1.03473042154837
HOXA1,265,0,1.48233652180927
PHYHIPL,266,0,-1.31184573152739
PCP2,267,0,-1.08604029008032
TPST2,268,0,-1.40168516663766
CES3,269,0,-1.48404050101829
MOV10L1,270,0,1.47274492045903
HOMER2,271,0,-1.4017351725879
SLC4A4,272,0,-1.94365604561481
