Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
DIS3,3,0.237711275065001,-0.0496673221332795,0.525089872263282,0.104969265005753,2.58940204055927,0.858331041727332,2.62837243680455,0.104969265005753,FALSE,3909
SH3D21,3,0.593859869995276,-0.124203785190598,1.31192352518115,0.10502875806585,14.0968609724609,0.0285726907293724,2.62747292123529,0.10502875806585,FALSE,3910
EXOC2,3,0.244175336828552,-0.0510980109400112,0.539448684597114,0.105063572642951,3.02334373554949,0.805911293726472,2.62694679517964,0.10506357264295,FALSE,3911
IRF9,3,0.310852655948669,-0.0651928361276639,0.686898148025001,0.105194401697597,3.23564145215386,0.778743039251577,2.62497138245256,0.105194401697597,FALSE,3912
IFNAR2,3,0.441386433201336,-0.0926492189848737,0.975422085387545,0.105246856689921,14.3447264149777,0.0260136917184276,2.62418011064316,0.10524685668992,FALSE,3913
COPS6,3,0.307579773690827,-0.0645646416414857,0.67972418902314,0.105248829393261,6.00872679087133,0.42221320939967,2.62415036128886,0.105248829393261,FALSE,3914
MOSPD3,5,0.351538325322912,-0.0738715367347931,0.776948187380617,0.105313861921706,6.18954519709124,0.402295727046904,2.62316998020594,0.105313861921707,FALSE,3915
SLC5A2,-5,-0.407502298456954,-0.900708554121772,0.0857039572078647,0.10536488109139,10.902545266653,0.0914354919954279,2.62240131825941,0.10536488109139,FALSE,3916
GNPNAT1,-5,-0.663347556289008,-1.46632554736916,0.139630434791147,0.105416197066016,25.0881865072936,0.000328851959990705,2.62162859603006,0.105416197066016,FALSE,3917
RFC1,-3,-0.267773768811577,-0.59196758239659,0.0564200447734359,0.1054756989997,5.33447184302853,0.501684299803982,2.62073312468779,0.105475698999699,FALSE,3918
CTNNA3,-3,-0.544882797380344,-1.20460969717844,0.114844102417751,0.105495276349129,2.82665983836786,0.587239570112684,2.62043861742118,0.105495276349129,FALSE,3919
