Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
FBXW12,-3,-2.44040416287296,-4.4500561841071,-0.430752141638829,0.0173095417063473,8.12200057108496,0.0172317737974623,5.66471373653787,0.0173095417063474,FALSE,1439
SPATA31G1,-3,-1.08631355094438,-1.98094708847128,-0.191680013417474,0.0173174901991283,10.336541901721,0.0351246404708844,5.66390847345091,0.0173174901991283,FALSE,1440
LAMC2,5,2.01313801772956,0.353000023848912,3.67327601161021,0.0174674889256603,46.8606762389115,1.99475448943413e-08,5.64878317770645,0.0174674889256603,FALSE,1447
PHYHD1,-5,-1.00602979158537,-1.83586078059086,-0.176198802579876,0.0174955348097786,18.558742286542,0.00497753333358672,5.64597001637512,0.0174955348097785,FALSE,1449
TMEM266,-3,-1.09115378551256,-1.99228324271778,-0.190024328307343,0.0176314435438045,18.4538303619803,0.00519270438428406,5.63240319396082,0.0176314435438045,FALSE,1453
CBS,-5,-1.95430327264818,-3.56940357019669,-0.339202975099674,0.0177114857726582,43.7882075029656,8.14247900786644e-08,5.62446354619277,0.0177114857726582,FALSE,1459
SERPINB5,3,3.17270673515782,0.549102127898496,5.79631134241714,0.017779871307568,38.5006118948477,8.83344157905547e-08,5.61770944689813,0.017779871307568,FALSE,1467
SULT1A2,-5,-1.80755832222174,-3.30431689048499,-0.31079975395849,0.0179354683902679,22.1318091217253,0.000188668152950045,5.60244129088467,0.0179354683902679,FALSE,1471
RNASE1,-5,-1.30403664966523,-2.38796835955185,-0.220104939778602,0.0183757983098682,26.1605106008304,0.000207822927840784,5.55996341104228,0.0183757983098683,FALSE,1480
PDIA2,-5,-3.11446899085486,-5.70866361783247,-0.520274363877253,0.0186205666671299,84.5625308902441,4.06706777581846e-16,5.53680327882606,0.0186205666671299,FALSE,1486
APOL1,3,1.11140312550857,0.18506480263845,2.03774144837868,0.0186965044136643,22.5950864879579,0.000944078994021558,5.52968187655208,0.0186965044136643,FALSE,1489
LZTS1,3,1.01256052772614,0.168288401184069,1.85683265426821,0.0187410167320101,16.2851208125895,0.0123027315725534,5.52552141178088,0.0187410167320101,FALSE,1493
CTLA4,3,1.68251693210805,0.278672586780226,3.08636127743588,0.0188223863294108,16.4280735463293,0.00249539382723229,5.51794230167734,0.0188223863294108,FALSE,1495
GSTA2,-5,-3.31726883329456,-6.08707989607883,-0.547457770510305,0.0189072748640939,86.8895105345735,1.33971791606347e-16,5.51007141628618,0.018907274864094,FALSE,1498
CD55,3,1.00237712320707,0.165274871242998,1.83947937517114,0.0189286484187997,17.5409516351682,0.00748786326738813,5.50809540872229,0.0189286484187997,FALSE,1500
TGFBI,3,1.44415855486474,0.237895250027244,2.65042185970225,0.018950585660847,38.3857325004276,9.44221376828372e-07,5.50606968362908,0.018950585660847,FALSE,1502
FCGR3A,3,1.56638401204709,0.257270271743777,2.87549775235041,0.0190198874879357,38.1361999918317,1.05654731768123e-06,5.49968610753566,0.0190198874879357,FALSE,1504
CA4,-5,-1.00472896265657,-1.84500023208391,-0.164457693229228,0.0191002970266388,18.4537292119745,0.00519291613711796,5.49230942370963,0.0191002970266388,FALSE,1506
CST1,3,3.28531464844848,0.534898143153305,6.03573115374365,0.0192251757662261,37.0825322353265,1.7321405815208e-07,5.48091656741979,0.019225175766226,FALSE,1514
MROH6,3,1.13525805591371,0.183255122648657,2.08726098917876,0.0194264044959471,19.3807455345128,0.00356667784438676,5.46271815248222,0.0194264044959471,FALSE,1524
ALPK2,4,1.68250476036575,0.270744051321431,3.09426546941007,0.0194995229481818,24.0638099956001,0.000211067726728659,5.45615379859851,0.0194995229481818,FALSE,1528
SIX2,-3,-1.28847341363856,-2.3696928557188,-0.207253971558317,0.0195089454586516,2.54750997879712,0.279779079395299,5.45530972529921,0.0195089454586516,FALSE,1529
CSDC2,-3,-1.33779140841365,-2.46068750109823,-0.214895315729067,0.0195406015046242,32.1523725647507,1.52559621064899e-05,5.4524770436331,0.0195406015046242,FALSE,1532
TOGARAM2,4,1.26431993468467,0.202085587938193,2.32655428143115,0.0196566055369337,16.1055192819895,0.00654918065547776,5.44213703428738,0.0196566055369337,FALSE,1533
B3GNT3,3,1.44599421524357,0.230462286899652,2.6615261435875,0.0197233753221482,32.5942118694537,1.25493971619495e-05,5.43621408268284,0.0197233753221482,FALSE,1535
GMNN,-3,-1.20425776606737,-2.21822309603335,-0.190292436101383,0.0199230742658663,27.8044920663442,0.000102271809130714,5.41862232737212,0.0199230742658663,FALSE,1547
GAP43,4,1.29374809438444,0.202069546664319,2.38542664210456,0.0201924228939256,11.1048496796748,0.0493403005112344,5.39518170457902,0.0201924228939256,FALSE,1558
NIBAN1,-5,-1.15396704835216,-2.12791782046575,-0.180016276238578,0.0202207670275516,29.5812800707606,4.7207867510891e-05,5.39273382585107,0.0202207670275516,FALSE,1559
ST6GALNAC5,3,1.08296020753199,0.166977943624151,1.99894247143982,0.0204899328723467,14.9413893368586,0.0207175053336974,5.36966325946358,0.0204899328723467,FALSE,1568
SYCE1,-3,-1.08893837369907,-2.01226264607527,-0.16561410132287,0.0208043008209704,1.2994573178527,0.522187448442381,5.34311205158577,0.0208043008209704,FALSE,1582
CCN4,5,1.50493296486478,0.228328738433484,2.78153719129608,0.0208596072560054,31.4264011518713,2.10128490780818e-05,5.33848389466398,0.0208596072560054,FALSE,1585
ABCC6,-5,-1.51253597043943,-2.79800768955601,-0.227064251322856,0.0211011476474649,37.1783003635347,1.62542199937845e-06,5.31841903879728,0.0211011476474649,FALSE,1595
AMBP,-5,-1.49212011626877,-2.76070279154128,-0.223537440996257,0.0211480990533783,23.8482426033083,0.000556909047849826,5.31454637149566,0.0211480990533782,FALSE,1598
CAPN8,3,1.2205607975397,0.182530567040238,2.25859102803916,0.0211884062635427,17.9585267707086,0.00633667885180932,5.31122882668429,0.0211884062635427,FALSE,1600
TRIM50,-4,-1.95977773654436,-3.63098885923042,-0.288566613858311,0.0215396413166033,11.0549094111143,0.0114326349220638,5.28259342636158,0.0215396413166033,FALSE,1616
PURG,4,1.22273052275317,0.179767810190437,2.2656932353159,0.0215738263063691,5.88675739649945,0.117251602759445,5.27983225748174,0.0215738263063692,FALSE,1617
FMO5,-5,-1.28470332952461,-2.38331475838783,-0.186091900661383,0.0219080141668025,30.9489752284378,2.59242657079965e-05,5.25307566046647,0.0219080141668025,FALSE,1638
CD36,-5,-1.0610781339726,-1.96899425239323,-0.153162015551968,0.021986414427145,16.5130716305027,0.0112496309283879,5.24685979647942,0.021986414427145,FALSE,1642
