Symbol,Module,N_Cancers,Degree,Log2FC
WDR62,9,3,2,-0.385959458401498
OSM,10,4,4,-0.442705238327001
IL13RA2,10,3,2,-1.68262127213487
CNTFR,10,3,2,0.709840190654886
SLC4A4,11,4,0,0.394636165236128
CDC45,12,3,94,-0.168008044746121
RRM2,12,3,90,-0.161254876800356
EXO1,12,3,78,-0.274266783529746
MCM10,12,3,64,-0.279689199162501
CDC6,12,3,62,-0.298369505202689
RAD51AP1,12,3,50,-0.360717549672755
CDT1,12,3,48,-0.112913589348253
DTL,12,3,46,0.0398622207806797
ASF1B,12,3,36,0.0529319312643412
MND1,12,3,30,-0.160358030650177
MCM2,12,3,28,-0.554230245862321
E2F1,12,3,22,-0.0615016689333209
CLSPN,12,3,20,-0.11097718560183
GINS2,12,3,18,-0.106040403050878
ORC6,12,3,14,-0.552363442867
RAD54L,12,3,14,-0.274058174232826
DSCC1,12,3,12,-0.598741638146385
ATAD2,12,3,12,-0.369893832149144
E2F7,12,4,6,0.207341829462841
XRCC2,12,3,4,-0.511871344873322
ENTPD8,12,3,2,-0.478878010402686
OLFML2B,13,4,0,0.199972234028686
ANOS1,14,4,0,0.125080756922589
LRRC15,15,4,0,0.122935026729751
TBX15,16,4,0,0.119281831175414
PLEKHN1,17,4,0,0.102129217978657
APLN,18,4,0,-0.0945249246579725
PKHD1L1,19,4,0,-0.0788634545647909
COL19A1,20,4,0,0.063070572552057
FSCN1,21,4,0,-0.0543563579648721
TUBB3,22,4,0,-0.0484397028973494
TMEM132A,23,4,0,0.0438988254529984
SPOCD1,24,4,0,0.00897863206794031
POGLUT2,25,4,0,-0.00361680931574093
DPEP1,26,3,0,-3.5587081174767
SLC30A2,27,3,0,-2.74812670934457
GRIN2A,28,3,4,1.65172302836299
GRIK3,28,3,2,2.63121104129417
GRIN2D,28,3,2,-1.50893646406689
STRA6,29,3,0,-2.62748280190171
CDH3,30,3,0,-2.53814285259613
SLITRK3,31,3,0,2.52043501613484
CADM2,32,3,0,2.42855669105399
AZGP1,33,3,0,-2.41140918789065
HOXB8,34,3,2,-2.35452716717795
HOXB5,34,3,2,-0.510307452291314
SHISA2,35,3,0,-2.29470751088443
PADI1,36,3,0,2.27943591506614
CSTA,37,3,0,2.17879276667783
WDR72,38,3,0,-2.17167952070731
NOX4,39,3,2,-2.12370927692108
DUOX2,39,3,2,-0.646199496454928
CADM3,40,3,0,2.06628668924788
ERVMER34-1,41,3,0,-1.96417917456728
CST2,42,3,0,-1.95883319346247
MME,43,3,8,-1.91825376013483
NR3C2,43,3,6,0.528837855039525
CALB2,43,3,4,1.72182420315098
KRT7,43,3,4,-1.31687525602614
SCNN1B,43,3,4,0.487409940128225
SCNN1G,43,3,4,-0.0348899386056855
VIP,43,3,2,1.6104584597282
XPNPEP2,43,3,2,-1.0991290234157
CLDN14,44,3,2,-1.91605464926534
CLDN11,44,3,2,-0.0298770004352155
DHRS9,45,3,0,1.90928647655063
PRAME,46,3,0,-1.86395840260327
EPB41L4B,47,3,0,-1.85276579366768
TNS4,48,3,0,-1.82926107837393
