Symbol,n_cancers,n_up,n_down,mean_lfc,sd_lfc,cancers
CCBE1,3,2,1,0.228359334263023,2.48199128799927,colorectal|esophagus|kidney
CA9,3,1,2,-0.226967101556515,4.85217706743017,colorectal|esophagus|kidney
KIF20A,3,1,2,-0.223145864663277,1.96889040804847,colorectal|esophagus|kidney
COL5A1,3,2,1,0.208986736783645,2.17050134050115,esophagus|kidney|pancreatic
TPX2,3,1,2,-0.201315181613266,2.53603889163707,colorectal|esophagus|kidney
CENPI,3,1,2,-0.197485222727238,1.78906252743274,colorectal|esophagus|kidney
IQGAP3,3,1,2,-0.195895534184904,2.21946487758969,colorectal|esophagus|kidney
PAQR4,3,1,2,-0.194191903992716,1.85283496542121,colorectal|esophagus|kidney
DPP6,3,2,1,0.189245270151264,3.32366763890274,colorectal|esophagus|kidney
SFRP1,3,2,1,-0.185154149208358,4.24350790659699,colorectal|esophagus|kidney
NUF2,3,1,2,-0.172436099125342,2.09552139941915,colorectal|esophagus|kidney
CDC45,3,1,2,-0.168008044746121,2.14665200493821,colorectal|esophagus|kidney
MKI67,3,1,2,0.165774844942655,2.26073945937724,colorectal|esophagus|kidney
PPP1R1A,3,2,1,0.163752677116229,2.79181488126741,colorectal|esophagus|kidney
RRM2,3,1,2,-0.161254876800356,1.97938186275349,colorectal|esophagus|kidney
MND1,3,1,2,-0.160358030650177,1.5269011132516,colorectal|esophagus|kidney
CEP55,3,1,2,-0.160152734649406,2.50316323327725,colorectal|esophagus|kidney
ASPM,3,1,2,0.159936019918199,2.42176852713941,colorectal|esophagus|kidney
DLGAP5,3,1,2,0.156049310264908,2.34449536845355,colorectal|esophagus|kidney
ANPEP,3,1,2,-0.155625152072458,2.69297415286583,colorectal|esophagus|kidney
RNF224,3,1,2,-0.149958707100558,2.198354337951,colorectal|esophagus|kidney
SHISA3,3,2,1,0.147640022321777,2.69196550735532,colorectal|esophagus|kidney
BRINP3,3,2,1,0.145596936791031,3.9535763810305,colorectal|esophagus|kidney
BIRC5,3,1,2,-0.142691727984093,2.19685276603953,colorectal|esophagus|kidney
SLC16A9,3,2,1,0.142244987863826,2.37283826300083,colorectal|esophagus|kidney
CXCL9,3,1,2,-0.135968566493828,2.1762009646798,colorectal|esophagus|kidney
GPAT3,3,2,1,0.135412873381375,2.31654135422854,colorectal|esophagus|kidney
PKMYT1,3,1,2,-0.133020703641846,2.20776135904951,colorectal|esophagus|kidney
SPNS2,3,1,2,0.127131177397689,2.15169716521146,colorectal|esophagus|kidney
NCAPH,3,1,2,-0.120789069585289,2.06142298810238,colorectal|esophagus|kidney
CHAC1,3,1,2,-0.1154633596442,1.90236721695793,colorectal|esophagus|pancreatic
CDT1,3,1,2,-0.112913589348253,1.75529179143922,colorectal|esophagus|kidney
DEFB1,3,2,1,0.112608493082721,2.07081968068271,colorectal|esophagus|kidney
CLSPN,3,1,2,-0.11097718560183,2.15314571215087,colorectal|esophagus|kidney
GINS2,3,1,2,-0.106040403050878,1.76220566620124,colorectal|esophagus|kidney
COL4A2,3,2,1,0.10554171107504,1.58694974492405,esophagus|kidney|pancreatic
LAIR2,3,1,2,-0.1030336888691,2.29732983673164,colorectal|esophagus|kidney
HJURP,3,1,2,-0.102245321651869,2.48231634807222,colorectal|esophagus|kidney
GABRD,3,1,2,0.0995070613231344,3.37325686123241,colorectal|esophagus|kidney
MAPK4,3,2,1,-0.0881964522986522,2.96872016746833,colorectal|esophagus|kidney
KIF4A,3,1,2,-0.0853118711630108,2.32841151604696,colorectal|esophagus|kidney
ANXA9,3,1,2,-0.0844889208921001,2.01677008189188,esophagus|kidney|pancreatic
KLHL14,3,2,1,0.0816866735584467,2.02416547873002,colorectal|esophagus|kidney
TROAP,3,1,2,-0.0763030603783928,2.23368744784313,colorectal|esophagus|kidney
KIFC1,3,1,2,-0.0756358971023182,1.7978219704431,colorectal|esophagus|kidney
BUB1,3,1,2,0.0692004671671995,2.35491425459627,colorectal|esophagus|kidney
SLC2A1,3,1,2,-0.0675681356817311,1.91823427442814,colorectal|esophagus|kidney
E2F1,3,1,2,-0.0615016689333209,2.07895195082245,colorectal|esophagus|kidney
ANLN,3,1,2,-0.0562845865650181,2.37332051923576,colorectal|esophagus|kidney
ASF1B,3,1,2,0.0529319312643412,1.98066142496573,colorectal|esophagus|kidney
BUB1B,3,1,2,-0.0487627703759156,1.8614636857195,colorectal|esophagus|kidney
MELK,3,1,2,0.0487300855038019,2.24738987467416,colorectal|esophagus|kidney
TTK,3,1,2,-0.0455768378023331,1.85042583406651,colorectal|esophagus|kidney
DTL,3,1,2,0.0398622207806797,2.40889920670249,colorectal|esophagus|kidney
GPR176,3,2,1,-0.0356028631767081,1.82267743022463,esophagus|kidney|pancreatic
COL3A1,3,2,1,-0.0354504512773447,2.51571000876967,esophagus|kidney|pancreatic
SCNN1G,3,2,1,-0.0348899386056855,4.86694613852019,colorectal|esophagus|kidney
ROS1,3,2,1,0.0332332087087989,3.96414270189157,colorectal|esophagus|pancreatic
CLDN11,3,2,1,-0.0298770004352155,1.86280032946703,colorectal|kidney|pancreatic
FADS6,3,2,1,-0.0255590625419691,3.22570381491232,colorectal|esophagus|kidney
NUSAP1,3,1,2,-0.0192986442281233,1.79378951878558,colorectal|esophagus|kidney
TNFAIP6,3,1,2,0.0163422263256615,3.8006098178324,colorectal|esophagus|kidney
TOP2A,3,1,2,0.011490651043307,2.4874439133551,colorectal|esophagus|kidney
PRR11,3,1,2,0.0109904213064712,1.87338667739318,colorectal|esophagus|kidney
INHBB,3,1,2,0.0102261468490467,2.78414911990736,colorectal|esophagus|kidney
UHRF1,3,1,2,0.00714260550223759,2.53564686569829,colorectal|esophagus|kidney
PXDN,3,2,1,-0.0051460197065761,1.96644623864347,esophagus|kidney|pancreatic
VAT1L,3,2,1,0.00411682194193985,1.84471097386264,colorectal|kidney|liver
KIF18B,3,1,2,0.00406559385233115,2.4152988935272,colorectal|esophagus|kidney
CENPF,3,1,2,0.000129621972660384,2.41424956041176,colorectal|esophagus|kidney
